DATE,START,END,DURATION,ID,TOPIC
05/10/2021,10:58,11:48,50.0,244,APIS
05/10/2021,14:25,16:26,121.0,98,CONSULTING
05/10/2021,04:59,06:03,64.0,34,DOCKER_DEPLOY
05/11/2021,22:01,23:01,60.0,237,ML_SUPERVISED
05/12/2021,09:59,11:00,61.0,47,ORMS
05/12/2021,19:56,20:59,63.0,253,EXCEL_VBA
05/12/2021,22:07,23:07,60.0,239,JAVASCRIPT
05/12/2021,07:58,08:58,60.0,149,EXCEL_VBA
05/13/2021,12:01,13:01,60.0,157,SQL
05/13/2021,13:58,14:58,60.0,156,FLASK
05/13/2021,16:04,17:04,60.0,71,PYTHON_PANDAS_MATPLOTLIB
05/14/2021,05:34,06:35,61.0,209,APIS
05/14/2021,09:58,10:58,60.0,92,COMPUTER_SCIENCE
05/14/2021,12:00,13:00,60.0,194,PYTHON_PANDAS_MATPLOTLIB
05/14/2021,14:01,15:01,60.0,254,ML_SUPERVISED
05/14/2021,19:00,20:02,62.0,10,JAVASCRIPT
05/12/2021,08:58,10:00,62.0,144,FLASK
05/15/2021,21:01,22:01,60.0,60,REACT
05/16/2021,13:03,14:03,60.0,17,SQL
05/16/2021,18:59,20:00,61.0,172,PYTHON_PANDAS_MATPLOTLIB
05/17/2021,09:01,10:02,61.0,209,JAVASCRIPT
05/16/2021,11:02,12:02,60.0,71,PYTHON_PANDAS_MATPLOTLIB
05/18/2021,11:00,12:00,60.0,241,PYTHON_PANDAS_MATPLOTLIB
05/20/2021,11:56,12:58,62.0,156,HTML_CSS
05/19/2021,15:05,16:04,59.0,239,COMPUTER_SCIENCE
05/20/2021,16:57,17:57,60.0,3,SQL
05/20/2021,18:32,19:32,60.0,209,JAVASCRIPT
05/20/2021,19:59,20:59,60.0,179,SQL
05/20/2021,22:00,23:00,60.0,98,DOCKER_DEPLOY
05/21/2021,07:23,08:24,61.0,189,PYTHON_PANDAS_MATPLOTLIB
05/21/2021,08:59,09:59,60.0,47,FLASK
05/21/2021,10:56,11:56,60.0,149,PYTHON_PANDAS_MATPLOTLIB
05/12/2021,19:01,20:01,60.0,10,JAVASCRIPT
05/21/2021,09:02,10:04,62.0,144,APIS
05/22/2021,07:01,08:02,61.0,157,AWS
05/22/2021,02:01,03:01,60.0,72,SQL
05/22/2021,18:02,18:58,56.0,34,JAVASCRIPT
05/22/2021,19:59,20:59,60.0,60,GRAPHQL
05/22/2021,22:00,23:00,60.0,237,ML_SUPERVISED
05/23/2021,07:02,08:02,60.0,69,ML_DEEP_LEARNING
05/23/2021,12:58,13:58,60.0,17,FLASK
05/23/2021,16:00,17:00,60.0,60,GRAPHQL
05/23/2021,20:00,21:00,60.0,253,PYTHON_PANDAS_MATPLOTLIB
05/23/2021,22:57,23:57,60.0,165,PYTHON_PANDAS_MATPLOTLIB
05/24/2021,07:00,08:00,60.0,3,SQL
